mode seconds mbs
skip-replay 144 0.00
skip-replay 145 0.00
skip-replay 146 0.00
skip-replay 147 0.00
skip-replay 148 0.00
skip-replay 149 0.00
skip-replay 150 0.00
skip-replay 151 0.00
skip-replay 152 0.00
skip-replay 153 0.00
skip-replay 154 0.00
skip-replay 155 0.00
skip-replay 156 0.00
skip-replay 157 0.00
skip-replay 158 0.00
skip-replay 159 0.00
skip-replay 160 0.00
skip-replay 161 0.00
skip-replay 162 0.00
skip-replay 163 0.00
skip-replay 164 0.00
skip-replay 165 0.00
skip-replay 166 0.00
skip-replay 167 0.00
skip-replay 168 0.00
skip-replay 169 0.00
skip-replay 170 0.00
skip-replay 171 0.00
skip-replay 172 0.00
skip-replay 173 0.00
skip-replay 174 0.00
skip-replay 175 0.00
skip-replay 176 0.00
skip-replay 177 0.00
skip-replay 178 0.00
skip-replay 179 0.00
skip-replay 180 0.00
skip-replay 181 0.00
skip-replay 182 0.00
skip-replay 183 0.00
skip-replay 184 0.00
skip-replay 185 0.00
skip-replay 186 0.00
skip-replay 187 0.00
skip-replay 188 0.00
skip-replay 189 0.00
skip-replay 190 0.00
skip-replay 191 0.00
skip-replay 192 0.00
skip-replay 193 0.00
skip-replay 194 0.00
skip-replay 195 0.00
skip-replay 196 0.00
skip-replay 197 0.00
skip-replay 198 0.00
skip-replay 199 0.00
skip-replay 200 0.00
skip-tx 1 0.03
skip-tx 2 397.58
skip-tx 3 397.60
skip-tx 4 397.61
skip-tx 5 397.32
skip-tx 6 20.83
skip-tx 7 0.00
skip-tx 8 0.00
skip-tx 9 0.00
skip-tx 10 0.00
skip-tx 11 0.00
skip-tx 12 0.00
skip-tx 13 0.00
skip-tx 14 0.00
skip-tx 15 0.00
skip-tx 16 0.00
skip-tx 17 0.00
skip-tx 18 0.00
skip-tx 19 0.00
skip-tx 20 0.00
skip-tx 21 0.00
skip-tx 22 0.00
skip-tx 23 0.00
skip-tx 24 0.00
skip-tx 25 0.00
skip-tx 26 0.00
skip-tx 27 0.00
skip-tx 28 0.00
skip-tx 29 0.00
skip-tx 30 0.00
skip-tx 31 0.00
skip-tx 32 0.00
skip-tx 33 0.00
skip-tx 34 0.00
skip-tx 35 0.00
skip-tx 36 0.00
skip-tx 37 0.00
skip-tx 38 0.00
skip-tx 39 0.00
skip-tx 40 0.00
skip-tx 41 0.00
skip-tx 42 0.00
skip-tx 43 0.00
skip-tx 44 0.00
skip-tx 45 0.00
skip-tx 46 0.00
skip-tx 47 0.00
skip-tx 48 0.00
skip-tx 49 0.00
skip-tx 50 0.00
skip-tx 51 0.00
skip-tx 52 0.00
skip-tx 53 0.00
skip-tx 54 0.00
skip-tx 55 0.00
skip-tx 56 0.00
skip-tx 57 0.00
skip-tx 58 0.00
skip-tx 59 0.00
skip-tx 60 0.00
skip-tx 61 0.00
skip-tx 62 0.00
skip-tx 63 0.00
skip-tx 64 0.00
skip-tx 65 0.00
skip-tx 66 0.00
skip-tx 67 0.00
skip-tx 68 0.00
skip-tx 69 0.00
skip-tx 70 0.00
skip-tx 71 0.00
skip-tx 72 0.00
skip-tx 73 0.00
skip-tx 74 0.00
skip-tx 75 0.00
skip-tx 76 0.00
skip-tx 77 0.00
skip-tx 78 0.00
skip-tx 79 0.00
skip-tx 80 0.00
skip-tx 81 0.00
skip-tx 82 0.00
skip-tx 83 0.00
skip-tx 84 0.00
skip-tx 85 0.00
skip-tx 86 0.00
skip-tx 87 0.00
skip-tx 88 0.00
skip-tx 89 0.00
skip-tx 90 0.00
skip-tx 91 0.00
skip-tx 92 0.00
skip-tx 93 0.00
skip-tx 94 0.00
skip-tx 95 0.00
skip-tx 96 0.00
skip-tx 97 0.00
skip-tx 98 0.00
skip-tx 99 0.00
skip-tx 100 0.00
skip-tx 101 0.00
skip-tx 102 0.00
skip-tx 103 0.00
skip-tx 104 0.00
skip-tx 105 0.00
skip-tx 106 0.00
skip-tx 107 0.00
skip-tx 108 0.00
skip-tx 109 0.00
skip-tx 110 0.00
skip-tx 111 0.00
skip-tx 112 0.00
skip-tx 113 0.00
skip-tx 114 0.00
skip-tx 115 0.00
skip-tx 116 0.00
skip-tx 117 0.00
skip-tx 118 0.00
skip-tx 119 0.00
skip-tx 120 0.00
skip-tx 121 0.00
skip-tx 122 0.00
skip-tx 123 0.00
skip-tx 124 0.00
skip-tx 125 0.00
skip-tx 126 0.00
skip-tx 127 0.00
skip-tx 128 0.00
skip-tx 129 0.00
skip-tx 130 0.00
skip-tx 131 0.00
skip-tx 132 0.00
skip-tx 133 0.00
skip-tx 134 0.00
skip-tx 135 0.00
skip-tx 136 0.00
skip-tx 137 0.00
skip-tx 138 0.00
skip-tx 139 0.00
skip-tx 140 0.00
skip-tx 141 0.00
skip-tx 142 0.00
skip-tx 143 0.00
skip-tx 144 0.00
skip-tx 145 0.00
skip-tx 146 0.00
skip-tx 147 0.00
skip-tx 148 0.00
skip-tx 149 0.00
skip-tx 150 0.00
skip-tx 151 0.00
skip-tx 152 0.00
